Applicant_ID,Applicant_Income,Coapplicant_Income,Employment_Status,Age,Marital_Status,Dependents,Credit_Score,Existing_Loans,DTI_Ratio,Savings,Collateral_Value,Loan_Amount,Loan_Term,Loan_Purpose,Property_Area,Education_Level,Gender,Employer_Category,Loan_Approved
APP00043,83293,77551,Salaried,24,Married,2,715,2,1.5,332801,531101,3602113,12,Education,Semi-Urban,Postgraduate,Female,Govt,0
APP00044,106298,45440,Salaried,45,Married,2,655,1,1.5,435297,550638,3810091,24,Home,Rural,Postgraduate,Male,Govt,0
APP00045,126442,35744,Salaried,34,Married,1,702,0,1.5,448444,1267209,2776813,84,Business,Semi-Urban,Postgraduate,Male,Self,1
APP00046,61873,11891,Self-Employed,29,Married,1,666,1,1.5,229381,1995072,1419942,120,Home,Urban,Graduate,Male,Private,1
APP00047,99116,72131,Self-Employed,46,Married,0,708,2,0.478,219174,213525,530474,84,Business,Semi-Urban,Postgraduate,Male,Self,1
APP00048,120881,0,Salaried,22,Single,2,716,1,1.5,117286,1813299,724276,36,Education,Rural,Postgraduate,Male,Self,1
APP00049,295654,0,Business,40,Single,0,524,0,0.554,497314,1268078,2273546,180,Business,Urban,Postgraduate,Male,Private,0
APP00050,64013,0,Self-Employed,48,Single,1,642,1,1.5,244192,1213623,4020265,12,Education,Rural,Postgraduate,Female,Private,0
APP00051,74570,61166,Self-Employed,27,Married,0,706,4,1.5,25655,1466784,1167885,24,Personal,Rural,Graduate,Male,Govt,0
APP00052,48951,2192,Business,64,Married,1,744,0,1.5,406699,174808,2588562,360,Home,Urban,Graduate,Male,Self,1
APP00053,146739,0,Salaried,28,Single,0,653,1,1.5,496440,132309,1682286,60,Education,Rural,Graduate,Male,Private,0
APP00054,65979,49851,Business,55,Married,2,532,1,1.011,45094,529231,2168197,240,Personal,Urban,Graduate,Female,Private,0
APP00055,26046,42861,Salaried,34,Married,2,779,0,1.5,177522,1233565,3656537,360,Personal,Rural,Postgraduate,Male,Private,0
APP00056,39909,34946,Salaried,37,Married,0,748,0,1.5,253568,1178833,1639925,180,Home,Semi-Urban,Undergraduate,Male,Private,1
APP00057,99261,49884,Business,56,Married,0,688,3,1.5,123116,1140631,259746,12,Education,Semi-Urban,Postgraduate,Male,Private,0
APP00058,266143,46360,Business,60,Married,0,642,0,1.5,161281,92292,3755758,84,Education,Semi-Urban,Undergraduate,Male,Private,0
APP00059,141853,63252,Salaried,24,Married,3,728,2,1.5,51316,1026100,3482732,120,Home,Rural,Graduate,Female,Self,0
APP00060,33930,0,Self-Employed,22,Single,1,643,2,0.487,254259,414436,306152,240,Education,Urban,Graduate,Male,Self,0
APP00061,64987,35455,Self-Employed,26,Married,1,750,0,0.141,23556,441014,262511,240,Business,Semi-Urban,Graduate,Male,Private,1
APP00062,138902,28672,Business,62,Married,0,823,0,1.064,164034,1601558,4954464,360,Home,Urban,Graduate,Female,Private,1
APP00063,114142,0,Salaried,24,Single,2,640,3,0.748,413854,1732186,2372802,360,Education,Urban,Graduate,Male,Self,0
APP00064,261489,70030,Business,49,Married,3,742,2,0.058,305898,1259126,89212,60,Business,Urban,Postgraduate,Male,Govt,1
APP00065,138902,58151,Salaried,38,Married,3,627,0,1.5,107211,426443,4712858,120,Home,Semi-Urban,Undergraduate,Male,Self,0
APP00066,40624,0,Salaried,46,Single,2,762,0,1.5,222691,1024649,295371,36,Personal,Urban,Graduate,Female,Govt,1
APP00067,129715,72074,Salaried,64,Married,0,660,1,1.5,470833,1126881,2929628,12,Personal,Urban,Graduate,Male,Private,0
APP00068,131378,62391,Salaried,54,Married,0,795,1,1.413,59376,1523831,2535335,120,Personal,Urban,Undergraduate,Female,Private,1
APP00069,223608,2221,Business,30,Married,0,657,1,1.5,411569,184992,322467,12,Personal,Urban,Graduate,Male,Private,0
APP00070,121421,5164,Salaried,56,Married,0,608,4,0.425,352532,10447,1495106,360,Personal,Semi-Urban,Undergraduate,Male,Self,0
APP00071,136696,33622,Business,34,Married,0,653,1,0.363,469512,251740,571819,120,Home,Rural,Postgraduate,Male,Govt,1
APP00072,34223,0,Salaried,51,Single,0,662,3,1.5,280915,1122621,719716,12,Education,Urban,Undergraduate,Female,Private,0
APP00073,59544,51738,Self-Employed,35,Married,1,698,2,1.5,333170,809297,2283564,36,Personal,Rural,Graduate,Male,Private,0
APP00074,217030,79921,Business,28,Married,3,653,0,1.5,394684,841882,1405572,12,Home,Semi-Urban,Postgraduate,Female,Self,0
APP00075,115770,23612,Self-Employed,34,Married,2,699,2,1.5,402479,16134,3893763,24,Home,Semi-Urban,Graduate,Female,Govt,0
APP00076,48993,78066,Self-Employed,43,Married,3,701,1,1.018,405985,254819,1197332,120,Business,Semi-Urban,Postgraduate,Male,Self,0
APP00077,29987,0,Self-Employed,60,Single,2,645,0,1.5,161406,576666,3528879,180,Personal,Rural,Graduate,Male,Private,0
APP00078,161449,60572,Business,41,Married,0,706,0,1.5,481333,933705,2984005,12,Education,Urban,Graduate,Male,Govt,1
APP00079,204231,33043,Business,36,Married,2,633,1,1.5,430965,106889,2531264,84,Business,Semi-Urban,Postgraduate,Male,Self,0
APP00080,110000,77831,Salaried,38,Married,0,839,1,1.328,409851,412152,2309754,120,Personal,Semi-Urban,Postgraduate,Female,Govt,1
APP00081,43784,66250,Business,44,Married,2,703,4,1.5,332254,1258442,1889802,60,Business,Semi-Urban,Undergraduate,Female,Private,0
APP00082,56419,38822,Salaried,46,Married,1,728,3,1.5,137976,717112,4071490,120,Business,Rural,Postgraduate,Male,Govt,0
APP00083,38767,0,Salaried,45,Single,4,664,0,1.5,75805,720669,1049589,84,Education,Urban,Postgraduate,Male,Private,0
APP00084,200251,66345,Business,61,Married,0,622,2,1.04,35968,677122,3849073,180,Personal,Semi-Urban,Graduate,Female,Private,0
APP00085,56028,52878,Salaried,49,Married,0,746,0,1.5,6650,789660,2647165,60,Personal,Semi-Urban,Postgraduate,Male,Private,1
APP00086,161185,64963,Business,35,Married,3,706,0,1.5,279611,1107981,2743339,12,Business,Urban,Postgraduate,Female,Private,1
APP00087,82965,0,Salaried,21,Single,0,470,0,1.5,106495,114764,290671,24,Personal,Urban,Undergraduate,Male,Private,0
APP00088,128394,32402,Salaried,45,Married,2,834,1,0.338,103331,331090,502822,120,Home,Semi-Urban,Undergraduate,Female,Govt,1
APP00089,94776,0,Salaried,27,Single,2,739,0,1.5,182972,1704344,3314756,24,Home,Rural,Graduate,Male,Private,1
APP00090,56459,0,Salaried,29,Single,3,649,1,1.5,224252,1691644,4078435,84,Home,Semi-Urban,Undergraduate,Male,Self,0
APP00091,21356,0,Self-Employed,44,Single,4,728,0,1.5,302662,1096073,4146209,60,Business,Rural,Graduate,Male,Self,0
APP00092,107331,76939,Salaried,21,Married,4,713,0,1.345,491032,1834830,3442468,180,Business,Semi-Urban,Graduate,Male,Govt,1
APP00093,49689,19039,Salaried,64,Married,0,719,3,1.5,466631,1099995,4213082,60,Education,Urban,Postgraduate,Male,Govt,0
APP00094,105446,0,Salaried,28,Single,3,610,4,1.5,271501,1762023,2783930,180,Personal,Urban,Graduate,Female,Self,0
APP00095,92982,0,Salaried,44,Single,2,685,2,0.919,360981,1692080,1582202,240,Business,Urban,Postgraduate,Female,Private,1
APP00096,112222,0,Self-Employed,31,Single,2,704,1,1.5,278009,1960741,3423321,180,Home,Urban,Graduate,Male,Private,0
APP00097,70179,32919,Salaried,37,Married,0,778,2,1.5,119559,1430982,2633047,24,Home,Urban,Graduate,Male,Self,1
APP00098,103198,47025,Self-Employed,28,Married,2,688,2,1.5,335512,136845,1216830,12,Education,Semi-Urban,Postgraduate,Male,Private,0
APP00099,241559,44254,Business,55,Married,4,714,2,1.5,368557,970490,4717072,84,Business,Semi-Urban,Postgraduate,Male,Private,0
APP00100,49261,0,Self-Employed,55,Single,3,607,0,0.341,492620,888733,233219,180,Personal,Urban,Undergraduate,Male,Self,1
APP00101,113191,57943,Business,53,Married,1,685,0,1.5,262548,452391,4258386,12,Education,Urban,Postgraduate,Male,Private,0
APP00102,137491,9514,Salaried,25,Married,0,749,0,0.307,66039,1971697,835195,240,Home,Urban,Postgraduate,Male,Govt,1
APP00103,97623,0,Salaried,62,Single,1,625,1,1.5,244028,1510029,983679,36,Personal,Semi-Urban,Graduate,Male,Govt,1
APP00104,96973,1511,Business,59,Married,3,648,0,1.5,364083,904832,4221151,180,Business,Urban,Graduate,Male,Govt,0
APP00105,57380,0,Self-Employed,61,Single,2,602,2,1.5,469510,659267,1816813,36,Personal,Urban,Graduate,Male,Self,0
APP00106,94833,51894,Self-Employed,48,Married,1,571,2,1.5,401137,1567536,4360619,60,Education,Rural,Postgraduate,Female,Private,0
APP00107,119008,24225,Self-Employed,27,Married,0,611,0,1.263,366881,800273,3349227,240,Home,Rural,Postgraduate,Male,Govt,0
APP00108,122409,20846,Salaried,29,Married,1,724,0,1.5,9428,1401586,4366815,24,Business,Urban,Graduate,Female,Self,1
APP00109,73575,0,Salaried,28,Single,1,660,1,1.5,471863,967331,1549624,120,Home,Semi-Urban,Postgraduate,Male,Govt,0
APP00110,42011,66107,Self-Employed,32,Married,3,611,0,0.807,254296,709439,2424133,360,Home,Urban,Postgraduate,Male,Govt,0
APP00111,63603,50354,Self-Employed,54,Married,2,854,0,0.971,93783,734303,3075202,360,Business,Rural,Graduate,Female,Govt,1
APP00112,74955,0,Salaried,53,Single,1,623,2,1.5,251941,454683,1320176,84,Business,Semi-Urban,Graduate,Female,Govt,0
APP00113,222917,60910,Business,43,Married,1,729,1,1.5,118823,965595,2041321,36,Personal,Urban,Undergraduate,Female,Private,0
APP00114,80871,42530,Salaried,44,Married,0,706,3,1.5,319701,1103077,2458363,120,Personal,Semi-Urban,Postgraduate,Male,Self,0
APP00115,85678,78753,Salaried,57,Married,4,699,2,0.901,363127,61855,4114706,360,Home,Urban,Undergraduate,Male,Self,0
APP00116,152024,41999,Business,55,Married,1,533,3,0.848,119039,1146311,1522901,120,Home,Urban,Graduate,Female,Private,0
APP00117,90877,0,Self-Employed,64,Single,1,781,0,1.5,410582,251928,2432157,60,Home,Urban,Undergraduate,Male,Private,1
APP00118,85693,58769,Salaried,60,Married,1,705,0,0.873,314067,1140398,817423,84,Personal,Semi-Urban,Graduate,Male,Private,1
APP00119,56433,47397,Salaried,42,Married,2,753,0,0.603,166636,675219,869537,180,Home,Urban,Graduate,Male,Govt,1
APP00120,99797,49322,Salaried,47,Married,2,771,0,1.5,385746,1383072,3305383,36,Business,Urban,Undergraduate,Male,Govt,1
APP00121,96468,0,Self-Employed,55,Single,2,817,1,1.5,246860,442909,4957276,360,Home,Urban,Graduate,Female,Self,0
APP00122,40804,6406,Salaried,21,Married,0,600,2,1.5,342655,934052,1066895,12,Education,Urban,Postgraduate,Male,Govt,0
APP00123,276600,62678,Business,55,Married,1,622,4,0.645,123410,1534159,4053660,240,Education,Rural,Graduate,Male,Govt,0
APP00124,53229,47062,Business,57,Married,0,633,3,1.5,246889,1694644,3886684,84,Personal,Urban,Postgraduate,Male,Private,0
APP00125,113338,32956,Business,34,Married,2,610,1,0.582,138714,1524696,2364117,360,Home,Urban,Undergraduate,Male,Private,0
APP00126,103363,53830,Salaried,23,Married,0,785,1,1.5,373025,1657445,571848,24,Business,Semi-Urban,Graduate,Male,Govt,1
APP00127,79608,72681,Self-Employed,21,Married,2,599,0,1.5,149921,905588,2410632,12,Education,Rural,Postgraduate,Male,Govt,0
APP00128,132904,0,Salaried,25,Single,3,649,1,1.187,369159,819817,2190468,180,Personal,Rural,Graduate,Male,Private,0
APP00129,69700,12209,Salaried,46,Married,3,549,3,1.5,417560,1257289,4540883,360,Personal,Semi-Urban,Postgraduate,Female,Private,0
APP00130,139952,0,Salaried,34,Single,1,738,0,1.5,288358,417860,4360817,84,Home,Urban,Graduate,Male,Govt,1
APP00131,102576,0,Salaried,59,Single,1,669,1,1.5,174298,1054215,3194641,60,Personal,Semi-Urban,Graduate,Male,Private,0
APP00132,175124,42585,Business,47,Married,0,750,3,1.5,227763,1275514,1951756,60,Personal,Semi-Urban,Graduate,Female,Private,1
APP00133,41127,34638,Salaried,29,Married,2,736,0,0.922,158594,863584,1293725,240,Business,Urban,Graduate,Female,Self,1
APP00134,111718,20645,Salaried,35,Married,3,548,4,1.5,261918,282724,2913423,12,Business,Rural,Undergraduate,Male,Private,0
APP00135,76288,0,Business,35,Single,0,694,0,1.5,11680,1933312,3512800,12,Home,Urban,Graduate,Male,Govt,0
APP00136,115063,12521,Salaried,46,Married,1,592,3,0.663,410723,289118,1566917,240,Home,Rural,Graduate,Male,Private,0
APP00137,91844,38221,Self-Employed,62,Married,3,691,1,1.5,122028,1566726,1283181,24,Home,Rural,Graduate,Female,Private,0
APP00138,107245,21086,Salaried,33,Married,3,633,0,1.5,79955,438589,2370554,120,Business,Semi-Urban,Graduate,Female,Govt,0
APP00139,124510,0,Salaried,52,Single,0,826,0,1.5,185079,375406,1051734,24,Home,Rural,Postgraduate,Female,Private,1
APP00140,255066,0,Business,59,Single,2,893,2,1.5,121416,1275734,3969816,84,Personal,Semi-Urban,Undergraduate,Male,Govt,1
APP00141,67464,37206,Salaried,52,Married,0,660,3,1.5,385417,1096188,3213939,36,Personal,Urban,Graduate,Female,Govt,0
APP00142,80516,0,Self-Employed,24,Single,0,687,1,1.5,54353,1466553,3149795,180,Personal,Semi-Urban,Undergraduate,Male,Private,0
APP00143,85878,11218,Salaried,50,Married,3,497,3,1.5,109289,258775,4464067,360,Home,Urban,Postgraduate,Male,Private,0
APP00144,59208,45692,Salaried,57,Married,3,548,2,1.5,224167,534989,1988000,24,Home,Urban,Graduate,Male,Self,0
APP00145,122481,0,Salaried,43,Single,2,710,0,1.5,466912,807254,4314351,180,Education,Semi-Urban,Postgraduate,Female,Private,1
APP00146,112104,6716,Salaried,59,Married,0,677,2,0.42,49233,277114,925122,240,Home,Urban,Postgraduate,Male,Private,0
APP00147,99683,16088,Salaried,35,Married,3,713,0,0.871,267070,611016,1866880,240,Home,Urban,Postgraduate,Female,Private,1
APP00148,82967,31001,Self-Employed,63,Married,1,616,1,1.5,186937,297991,3148906,180,Home,Semi-Urban,Undergraduate,Male,Private,0
APP00149,66514,0,Salaried,49,Single,1,704,0,1.5,143944,23103,948202,60,Personal,Rural,Graduate,Male,Govt,1
APP00150,121988,0,Salaried,56,Single,1,477,0,1.5,12839,450695,4992713,60,Education,Urban,Undergraduate,Male,Self,0
APP00151,30136,0,Salaried,33,Single,0,631,1,1.5,151724,1955714,3161727,360,Home,Urban,Undergraduate,Male,Self,0
APP00152,108776,0,Business,52,Single,2,717,0,0.438,405075,1819006,1323471,360,Home,Urban,Graduate,Female,Govt,1
APP00153,163675,5605,Business,27,Married,2,815,1,1.5,169592,1274041,3995051,84,Home,Semi-Urban,Postgraduate,Male,Govt,0
APP00154,47476,56492,Self-Employed,42,Married,0,670,3,1.5,345984,1550974,3491373,180,Education,Urban,Graduate,Female,Govt,0
APP00155,82530,3321,Business,48,Married,0,727,0,1.5,185338,1524639,2729915,180,Home,Semi-Urban,Undergraduate,Female,Private,1
APP00156,70099,44541,Salaried,22,Married,0,626,2,0.509,249433,1371507,1621254,360,Personal,Urban,Postgraduate,Female,Private,0
APP00157,115060,51701,Salaried,62,Married,0,715,1,0.465,387173,148016,1077035,180,Home,Urban,Graduate,Male,Self,1
APP00158,27911,0,Self-Employed,26,Single,2,640,0,1.5,336660,492709,4795881,240,Business,Rural,Graduate,Male,Self,0
APP00159,44080,56045,Self-Employed,48,Married,3,836,2,0.547,175165,770945,761039,180,Home,Urban,Postgraduate,Male,Private,1
APP00160,131373,8933,Salaried,48,Married,0,653,0,1.5,188042,1587838,2563477,60,Business,Semi-Urban,Graduate,Female,Private,0
APP00161,136073,9906,Salaried,64,Married,0,666,0,1.5,54620,309128,4065499,24,Business,Urban,Graduate,Female,Private,0
APP00162,80376,23814,Business,64,Married,2,741,0,1.5,267569,1095469,846613,36,Personal,Semi-Urban,Graduate,Male,Private,1
APP00163,264212,0,Business,40,Single,3,720,1,0.398,340821,1542464,1458972,180,Business,Semi-Urban,Graduate,Female,Private,1
APP00164,149077,8434,Salaried,50,Married,1,650,1,0.629,55727,1570480,2750476,360,Home,Urban,Graduate,Male,Private,0
APP00165,78545,56153,Self-Employed,31,Married,1,712,0,1.5,211665,943818,4311224,24,Home,Urban,Graduate,Male,Private,1
APP00166,136157,0,Salaried,48,Single,2,595,0,1.5,186057,1340572,3083196,180,Home,Urban,Graduate,Male,Private,0
APP00167,133763,40694,Salaried,45,Married,0,698,2,1.5,233411,1315673,4694094,60,Home,Semi-Urban,Postgraduate,Female,Private,0
APP00168,61397,45485,Salaried,59,Married,0,723,3,1.104,183156,745178,1639516,180,Home,Rural,Postgraduate,Male,Private,0
APP00169,102193,12069,Salaried,53,Married,2,646,1,1.5,336786,338917,2757277,84,Personal,Semi-Urban,Graduate,Female,Private,0
APP00170,148651,57198,Salaried,21,Married,2,650,0,0.479,90623,1282332,1370436,180,Home,Semi-Urban,Graduate,Female,Private,0
APP00171,52437,0,Business,47,Single,2,629,0,1.5,268552,814880,976173,120,Education,Urban,Postgraduate,Female,Private,1
APP00172,109376,0,Salaried,33,Single,2,565,3,1.5,221473,556059,4445183,24,Home,Urban,Graduate,Male,Private,0
APP00173,31820,72928,Self-Employed,61,Married,2,713,0,1.5,60337,1100126,3941809,180,Personal,Urban,Graduate,Male,Govt,0
APP00174,75522,0,Salaried,23,Single,0,641,0,1.5,240197,55378,4136618,84,Business,Urban,Graduate,Male,Govt,0
APP00175,65397,33457,Salaried,59,Married,1,724,1,0.313,244738,1234543,860584,360,Education,Urban,Undergraduate,Male,Private,1
APP00176,228218,52290,Business,26,Married,0,665,2,1.5,44612,242329,4191547,12,Education,Semi-Urban,Undergraduate,Male,Private,0
APP00177,55875,11932,Self-Employed,28,Married,0,729,1,1.5,175235,189809,734360,12,Education,Semi-Urban,Undergraduate,Female,Self,0
APP00178,120912,11766,Business,47,Married,2,542,0,0.655,132948,1640988,161036,24,Personal,Rural,Postgraduate,Male,Private,1
APP00179,91750,13292,Business,29,Married,3,588,2,0.584,282987,716170,1136437,240,Home,Urban,Postgraduate,Male,Private,0
APP00180,44943,0,Salaried,57,Single,4,612,1,1.5,185436,1304552,2808950,360,Business,Semi-Urban,Graduate,Male,Govt,0
APP00181,64460,0,Salaried,53,Single,2,775,2,1.5,295621,1259999,2815241,180,Education,Rural,Postgraduate,Male,Govt,1
APP00182,92682,76230,Business,62,Married,0,712,0,1.5,234065,334036,2635370,12,Home,Semi-Urban,Graduate,Male,Self,0
APP00183,235785,34533,Business,64,Married,0,658,2,0.176,388243,937573,662382,180,Business,Urban,Postgraduate,Male,Govt,1
APP00184,29866,5778,Self-Employed,44,Married,3,641,1,1.5,197154,1811361,3549138,240,Business,Urban,Undergraduate,Female,Private,0
APP00185,57789,35059,Self-Employed,35,Married,2,727,1,1.292,163402,276839,1665575,180,Personal,Urban,Postgraduate,Male,Private,0
APP00186,105404,4866,Self-Employed,52,Married,2,632,1,1.5,99747,1495253,1579157,84,Home,Urban,Graduate,Female,Private,0
APP00187,92008,73965,Salaried,52,Married,2,738,0,1.381,435785,1986863,3182682,180,Personal,Semi-Urban,Graduate,Female,Self,1
APP00188,80997,0,Self-Employed,44,Single,2,662,0,1.5,496419,1035418,2247789,24,Home,Urban,Postgraduate,Male,Private,1
APP00189,170512,43352,Business,61,Married,3,783,0,0.29,53114,1312123,1725554,360,Education,Urban,Postgraduate,Female,Private,1
APP00190,63500,50736,Self-Employed,32,Married,0,604,1,1.5,334438,1679559,1285498,24,Home,Semi-Urban,Undergraduate,Male,Self,1
APP00191,95408,34075,Salaried,59,Married,2,669,1,1.5,200178,683687,4449271,24,Education,Rural,Graduate,Female,Self,0
APP00192,118083,24104,Salaried,22,Married,3,606,2,1.5,305692,592109,3340972,84,Personal,Semi-Urban,Undergraduate,Male,Govt,0
APP00193,68341,65827,Salaried,23,Married,0,810,0,1.5,329742,139934,3840590,240,Home,Semi-Urban,Postgraduate,Female,Govt,1
APP00194,38691,0,Salaried,57,Single,2,681,3,0.549,361849,1246912,196601,120,Business,Urban,Undergraduate,Female,Govt,0
APP00195,224697,1642,Business,37,Married,1,599,0,0.145,147332,1846438,910022,360,Home,Urban,Postgraduate,Female,Private,1
APP00196,29753,0,Salaried,22,Single,4,607,1,1.5,299494,1737953,1961634,120,Home,Urban,Postgraduate,Female,Self,0
APP00197,26833,8769,Salaried,22,Married,0,721,0,1.5,177813,164718,2729675,84,Personal,Semi-Urban,Postgraduate,Male,Private,0
APP00198,129232,69445,Salaried,48,Married,2,534,2,1.5,103214,1077498,4704280,12,Business,Rural,Postgraduate,Male,Private,0
APP00199,94258,50375,Self-Employed,43,Married,0,665,2,0.725,133885,1715479,1941688,240,Business,Urban,Undergraduate,Male,Self,0
APP00200,130120,0,Salaried,57,Single,2,611,3,1.5,312325,1034715,3604041,36,Personal,Semi-Urban,Graduate,Male,Private,0
APP00201,140428,12268,Salaried,52,Married,0,667,0,1.5,393454,1753585,708219,24,Home,Urban,Graduate,Female,Private,1
APP00202,120977,0,Salaried,53,Single,0,688,0,1.5,88446,92099,4531325,180,Business,Semi-Urban,Undergraduate,Male,Self,0
APP00203,65024,74174,Salaried,21,Married,1,672,2,1.5,136912,1991633,2030708,24,Business,Urban,Postgraduate,Female,Self,0
APP00204,142068,0,Salaried,39,Single,3,658,2,1.5,460638,179932,4907964,12,Home,Urban,Postgraduate,Male,Self,0
APP00205,133853,11233,Salaried,22,Married,0,693,3,1.5,415941,1023510,1625276,24,Personal,Rural,Graduate,Female,Private,0
APP00206,238228,0,Business,64,Single,0,819,0,0.356,279443,453604,784701,120,Personal,Semi-Urban,Graduate,Male,Self,1
APP00207,34635,17806,Salaried,46,Married,2,781,2,1.5,317796,1370812,2019418,24,Education,Semi-Urban,Undergraduate,Female,Govt,1
